timestamp,metric_value
2025-01-01 00:00:00,62.92
2025-01-01 00:00:01,62.02
2025-01-01 00:00:02,61.10
2025-01-01 00:00:03,60.18
2025-01-01 00:00:04,59.26
2025-01-01 00:00:05,58.32
2025-01-01 00:00:06,57.38
2025-01-01 00:00:07,56.42
2025-01-01 00:00:08,55.46
2025-01-01 00:00:09,54.50
2025-01-01 00:00:10,53.52
2025-01-01 00:00:11,52.54
2025-01-01 00:00:12,51.55
2025-01-01 00:00:13,50.56
2025-01-01 00:00:14,49.56
2025-01-01 00:00:15,48.55
2025-01-01 00:00:16,47.53
2025-01-01 00:00:17,46.51
2025-01-01 00:00:18,45.48
2025-01-01 00:00:19,44.45
2025-01-01 00:00:20,43.41
2025-01-01 00:00:21,42.37
2025-01-01 00:00:22,41.31
2025-01-01 00:00:23,40.26
2025-01-01 00:00:24,39.20
2025-01-01 00:00:25,38.13
2025-01-01 00:00:26,37.06
2025-01-01 00:00:27,35.98
2025-01-01 00:00:28,34.90
2025-01-01 00:00:29,33.81
2025-01-01 00:00:30,32.72
2025-01-01 00:00:31,31.62
2025-01-01 00:00:32,30.52
2025-01-01 00:00:33,29.42
2025-01-01 00:00:34,28.31
2025-01-01 00:00:35,27.20
2025-01-01 00:00:36,26.08
2025-01-01 00:00:37,24.96
2025-01-01 00:00:38,23.84
2025-01-01 00:00:39,22.71
2025-01-01 00:00:40,21.59
2025-01-01 00:00:41,20.45
2025-01-01 00:00:42,19.32
2025-01-01 00:00:43,18.18
2025-01-01 00:00:44,17.04
2025-01-01 00:00:45,15.90
2025-01-01 00:00:46,14.76
2025-01-01 00:00:47,13.61
2025-01-01 00:00:48,12.47
2025-01-01 00:00:49,11.32
2025-01-01 00:00:50,10.17
2025-01-01 00:00:51,9.01
2025-01-01 00:00:52,7.86
2025-01-01 00:00:53,6.71
2025-01-01 00:00:54,5.55
2025-01-01 00:00:55,4.39
2025-01-01 00:00:56,3.24
2025-01-01 00:00:57,2.08
2025-01-01 00:00:58,0.92
2025-01-01 00:00:59,-0.23
2025-01-01 00:01:00,-1.39
2025-01-01 00:01:01,-2.55
2025-01-01 00:01:02,-3.71
2025-01-01 00:01:03,-4.86
2025-01-01 00:01:04,-6.02
2025-01-01 00:01:05,-7.17
2025-01-01 00:01:06,-8.33
2025-01-01 00:01:07,-9.48
2025-01-01 00:01:08,-10.63
2025-01-01 00:01:09,-11.78
2025-01-01 00:01:10,-12.93
2025-01-01 00:01:11,-14.08
2025-01-01 00:01:12,-15.22
2025-01-01 00:01:13,-16.36
2025-01-01 00:01:14,-17.50
2025-01-01 00:01:15,-18.64
2025-01-01 00:01:16,-19.78
2025-01-01 00:01:17,-20.91
2025-01-01 00:01:18,-22.04
2025-01-01 00:01:19,-23.17
2025-01-01 00:01:20,-24.29
2025-01-01 00:01:21,-25.41
2025-01-01 00:01:22,-26.53
2025-01-01 00:01:23,-27.65
2025-01-01 00:01:24,-28.76
2025-01-01 00:01:25,-29.86
2025-01-01 00:01:26,-30.97
2025-01-01 00:01:27,-32.06
2025-01-01 00:01:28,-33.16
2025-01-01 00:01:29,-34.25
2025-01-01 00:01:30,-35.33
2025-01-01 00:01:31,-36.41
2025-01-01 00:01:32,-37.49
2025-01-01 00:01:33,-38.56
2025-01-01 00:01:34,-39.63
2025-01-01 00:01:35,-40.69
2025-01-01 00:01:36,-41.74
2025-01-01 00:01:37,-42.79
2025-01-01 00:01:38,-43.83
2025-01-01 00:01:39,-44.87
2025-01-01 00:01:40,-45.90
2025-01-01 00:01:41,-46.93
2025-01-01 00:01:42,-47.94
2025-01-01 00:01:43,-48.96
2025-01-01 00:01:44,-49.96
2025-01-01 00:01:45,-50.96
2025-01-01 00:01:46,-51.95
2025-01-01 00:01:47,-52.94
2025-01-01 00:01:48,-53.92
2025-01-01 00:01:49,-54.89
2025-01-01 00:01:50,-55.85
2025-01-01 00:01:51,-56.81
2025-01-01 00:01:52,-57.76
2025-01-01 00:01:53,-58.70
2025-01-01 00:01:54,-59.63
2025-01-01 00:01:55,-60.56
2025-01-01 00:01:56,-61.47
2025-01-01 00:01:57,-62.38
2025-01-01 00:01:58,-63.28
2025-01-01 00:01:59,-64.18
2025-01-01 00:02:00,-65.06
2025-01-01 00:02:01,-65.93
2025-01-01 00:02:02,-66.80
2025-01-01 00:02:03,-67.66
2025-01-01 00:02:04,-68.50
